Student_ID,Name,Email,Category_1,Category_2,Category_3,Which data structure uses the Last-In-First-Out (LIFO) principle?,What is the time complexity of binary search in a sorted array? ,Which HTTP method is used to update an existing resource? ,  What does SQL stand for?  ,Which of the following is a NoSQL database? ,  What is the output of print(bool([])) in Python?  ,Which of the following is NOT a frontend framework? ,Which OOP principle promotes code reuse ?,What is the main function of a Load Balancer in a system? ,Which command is used to create a virtual environment in Python? ,Which of the following is a supervised learning algorithm?,Which library is used for data visualization in Python? ,What is the purpose of feature scaling in ML? ,Which metric is best for evaluating an imbalanced classification model? ,Which activation function is commonly used in deep learning hidden layers? ,Which technique is used to reduce overfitting in a neural network? ,Which algorithm is best suited for anomaly detection? ,What is the output of a softmax function? ,Which concept is used in reinforcement learning? ,Which of these is an example of NLP? ,What does VPN stand for?,Which protocol is used to encrypt web traffic? ,Which of the following is an example of two-factor authentication? ,Which attack involves intercepting communication between two parties? ,Which hashing algorithm is commonly used for password storage? ,What does the OSI model stand for? ,Which of these is a penetration testing tool? ,Which type of malware restricts access to files until a ransom is paid? ,Which port does HTTPS typically use? ,What is the principle of Least Privilege? 
S001,Student_1,student1@example.com,Software Development,Data Science,Cybersecurity,0,0,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,1,1,1,0,1,1,1,1,0,1,0,0
S002,Student_2,student2@example.com,Software Development,Data Science,Cybersecurity,0,0,0,1,0,1,1,0,1,1,0,0,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,0,1
S003,Student_3,student3@example.com,Software Development,Data Science,Cybersecurity,0,1,0,1,1,1,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,1,1,0,1,1,1,1,1
S004,Student_4,student4@example.com,Software Development,Data Science,Cybersecurity,1,1,0,0,1,0,1,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1
S005,Student_5,student5@example.com,Software Development,Data Science,Cybersecurity,0,1,1,0,0,1,1,1,0,1,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1
S006,Student_6,student6@example.com,Software Development,Data Science,Cybersecurity,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,1,1,1,1
S007,Student_7,student7@example.com,Software Development,Data Science,Cybersecurity,1,1,1,0,1,1,0,1,0,1,1,1,0,1,0,1,1,0,1,1,1,0,0,1,1,1,1,0,1,1
S008,Student_8,student8@example.com,Software Development,Data Science,Cybersecurity,1,1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,1,1,0,1,1,0,0,1,1,1,1,0,1,0
S009,Student_9,Student9-example.com,Software Development,Data Science,Cybersecurity,1,1,0,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1
S010,Student_10,student10@example.com,Software Development,Data Science,Cybersecurity,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1
